Age,Category,Milestone
2 years*,Social/Emotional Milestones,Looks at your face to see how to react in a new situation
2 years*,Language/Communication Milestones,"Points to things in a book when you ask, like"
2 years*,Language/Communication Milestones,Kicks a ball
2 years*,Language/Communication Milestones,Runs
2 years*,Language/Communication Milestones,"Says at least two words together, like “More milk.”"
2 years*,Language/Communication Milestones,Walks (not climbs) up a few stairs with or
2 years*,Language/Communication Milestones,Points to at least two body parts when you ask him
2 years*,Language/Communication Milestones,Eats with a spoon
2 years*,Language/Communication Milestones,"Uses more gestures than just waving and pointing,"
2 years*,Cognitive Milestones,Holds something in one hand while using the other hand;
30 months*,Social/Emotional Milestones,"Shows simple problem-solving skills, like"
30 months*,Social/Emotional Milestones,Plays next to other children and sometimes plays
30 months*,Social/Emotional Milestones,Follows two-step instructions like “Put the toy down
30 months*,Social/Emotional Milestones,"Shows you what she can do by saying, “Look at me!”"
30 months*,Social/Emotional Milestones,"Shows he knows at least one color, like pointing to a"
30 months*,Social/Emotional Milestones,"Follows simple routines when told, like helping to pick"
30 months*,Language/Communication Milestones,"Uses hands to twist things, like turning doorknobs"
30 months*,Language/Communication Milestones,Says about 50 words
30 months*,Language/Communication Milestones,"Says two or more words together, with one action"
30 months*,Language/Communication Milestones,"Takes some clothes off by himself, like loose pants"
30 months*,Language/Communication Milestones,"Names things in a book when you point and ask,"
30 months*,Language/Communication Milestones,Jumps off the ground with both feet
30 months*,Language/Communication Milestones,"Turns book pages, one at a time, when you read to her"
30 months*,Language/Communication Milestones,"Says words like “I,” “me,” or “we”"
30 months*,Cognitive Milestones,"Uses things to pretend, like feeding a block to a doll developmental screening."
3 years,Cognitive Milestones,"Calms down within 10 minutes after you leave her,"
3 years,Cognitive Milestones,"like at a childcare drop off  Draws a circle, when you show him how"
3 years,Cognitive Milestones,"Notices other children and joins them to play  Avoids touching hot objects, like a stove, when you"
3 years,Movement/Physical Development,Talks with you in conversation using at least two
3 years,Movement/Physical Development,"Asks “who,” “what,” “where,” or “why” questions,  Strings items together, like large beads or macaroni"
3 years,Movement/Physical Development,"like “Where is mommy/daddy?”  Puts on some clothes by himself, like loose pants or"
3 years,Movement/Physical Development,Says what action is happening in a picture or book
3 years,Movement/Physical Development,"when asked, like “running,” “eating,” or “playing”  Uses a fork"
3 years,Movement/Physical Development,"Says first name, when asked"
3 years,Movement/Physical Development,"Talks well enough for others to understand, most"
4 years,Language/Communication Milestones,Holds crayon or pencil between fingers and thumb
4 years,Language/Communication Milestones,Says sentences with four or more words
4 years,Language/Communication Milestones,"Says some words from a song, story, or nursery rhyme"
4 years,Language/Communication Milestones,Talks about at least one thing that happened during
4 years,Language/Communication Milestones,Answers simple questions like “What is a coat for?”
4 years,Cognitive Milestones,"Pretends to be something else during play (teacher,"
4 years,Cognitive Milestones,"superhero, dog)  Names a few colors of items"
4 years,Cognitive Milestones,"Asks to go play with children if none are around, like  Tells what comes next in a well-known story"
4 years,Cognitive Milestones,“Can I play with Alex?”  Draws a person with three or more body parts
4 years,Cognitive Milestones,"Comforts others who are hurt or sad, like hugging a"
4 years,Movement/Physical Development,"Avoids danger, like not jumping from tall heights at"
4 years,Movement/Physical Development,Likes to be a “helper”  Catches a large ball most of the time
4 years,Movement/Physical Development,"Changes behavior based on where she is (place of  Serves himself food or pours water, with adult"
4 years,Movement/Physical Development,Unbuttons some buttons
5 years,Language/Communication Milestones,Pays attention for 5 to 10 minutes during activities.
5 years,Language/Communication Milestones,Tells a story she heard or made up with at least two
5 years,Language/Communication Milestones,Writes some letters in her name
5 years,Language/Communication Milestones,Names some letters when you point to them
5 years,Language/Communication Milestones,Answers simple questions about a book or story
5 years,Cognitive Milestones,Follows rules or takes turns when playing games
5 years,Cognitive Milestones,with other children  Counts to 10
5 years,Cognitive Milestones,"Sings, dances, or acts for you  Names some numbers between 1 and 5 when you"
5 years,Cognitive Milestones,"Does simple chores at home, like matching socks point to them"
5 years,Cognitive Milestones,"or clearing the table after eating  Uses words about time, like “yesterday,” “tomorrow,”"
5 years,Movement/Physical Development,Keeps a conversation going with more than three
5 years,Movement/Physical Development,Uses or recognizes simple rhymes  Buttons some buttons
5 years,Movement/Physical Development,"(bat-cat, ball-tall)  Hops on one foot"
